,classifier,cohort_identifier,cv_index,encoded_features_size,encoded_image_size,encoded_image_size_height,encoded_image_size_width,modality,module,non_varying_features,raw_image_size,raw_image_size_height,raw_image_size_width,training_scores_mean_test_AUC,training_scores_mean_test_Accuracy,training_scores_mean_test_F1,training_scores_mean_train_AUC,training_scores_mean_train_Accuracy,training_scores_mean_train_F1,AUC,Accuracy,Brier_Loss,DP,F1,Log_Loss,P+,P-,Precision,Recall,Specificity,Youdens
0,RandomForest,ppp1_raw_image_512x512,1,1280,,128.0,128.0,all_modalities,mobilenet_v2_035_128,90770,,512.0,512.0,0.5913646136466286,0.5579029733959311,0.5727462686037001,1.0,1.0,1.0,0.5695295433960254,0.5437956204379562,0.24510705109489053,0.19375673011668224,0.5387453874538746,0.6831251736072553,1.1967213114754098,0.8421052631578947,0.5447761194029851,0.5328467153284672,0.5547445255474452,0.08759124087591241
1,LogisticRegression,ppp1_raw_image_512x512,0,1280,,224.0,224.0,ms1_only,mobilenet_v2_050_224,1178,,512.0,512.0,0.5917964499474524,0.5892018779342723,0.5932330954147901,0.8697198675550241,0.7924874921826142,0.7907612336721422,0.641270179551388,0.6021897810218978,0.23665038982176925,0.45718541952086883,0.6007326007326008,0.6675297471397256,1.5185185185185188,0.6626506024096385,0.6029411764705882,0.5985401459854015,0.6058394160583942,0.2043795620437957
2,RandomForest,ppp1_cropped_image_2048x973,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_100_224,1245,,2048.0,973.0,0.5837193750280235,0.5422535211267606,0.5432508883323204,1.0,1.0,1.0,0.555383877670627,0.5437956204379562,0.25064842335766424,0.1936730722431185,0.5454545454545454,0.6949965283027112,1.1904761904761905,0.8378378378378378,0.5434782608695652,0.5474452554744526,0.5401459854014599,0.08759124087591241
3,RandomForest,ppp1_raw_image_2048x2048,1,1280,,224.0,224.0,all_modalities,mobilenet_v2_050_224,118441,,2048.0,2048.0,0.7049376974636077,0.6525821596244131,0.6447444837855798,1.0,1.0,1.0,0.7058713836645534,0.6459854014598541,0.2298857080291971,0.6651968508639353,0.6367041198501874,0.6523004013372321,1.8888888888888886,0.5652173913043478,0.6538461538461539,0.6204379562043796,0.6715328467153284,0.291970802919708
4,LogisticRegression,ppp1_raw_image_2048x2048,1,1280,,128.0,128.0,ms1_only,mobilenet_v2_035_128,847,,2048.0,2048.0,0.5427932139775526,0.52660406885759,0.5271961099434593,0.9322764885557374,0.8491376776838907,0.8504542605100762,0.44040705418509235,0.45985401459854014,0.305081686538745,-0.178064901670436,0.47517730496453897,0.8308395639219366,0.858974358974359,1.1864406779661019,0.46206896551724136,0.48905109489051096,0.4306569343065693,-0.08029197080291967
5,XGBoost,ppp1_cropped_image_512x243,1,2048,,224.0,224.0,ms1_only,resnet_v2_152,1586,,512.0,243.0,0.751882636763199,0.6862284820031299,0.6834964855204069,1.0,1.0,1.0,0.72007032873355,0.6642335766423357,0.2501142555444943,0.7524471464764998,0.6617647058823529,0.8160407913756985,1.9999999999999996,0.5108695652173914,0.6666666666666666,0.656934306569343,0.6715328467153284,0.32846715328467146
6,SVC,ppp1_raw_image_2048x2048,8,256,,224.0,224.0,ms1_only,mobilenet_v1_025_224,253,,2048.0,2048.0,0.6206093225241658,0.5852895148669797,0.5754900697100978,0.7871273622699869,0.7151870647538171,0.7018066835190121,0.6432681549363312,0.5766423357664233,0.2354241451796435,0.34193985396251037,0.5639097744360902,0.6633110612561469,1.388888888888889,0.7469879518072289,0.5813953488372093,0.5474452554744526,0.6058394160583942,0.15328467153284675
7,RandomForest,ppp1_raw_image_512x512,1,2048,,299.0,299.0,all_modalities,inception_v3_imagenet,206835,,512.0,512.0,0.7810640533940503,0.7089201877934272,0.6922990868160841,1.0,1.0,1.0,0.7856039213596888,0.7153284671532847,0.1981692700729927,1.0187504131596512,0.708955223880597,0.5833076106966193,2.638888888888889,0.41584158415841577,0.7251908396946565,0.6934306569343066,0.7372262773722628,0.43065693430656937
8,XGBoost,ppp1_cropped_image_2048x973,1,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,943,,2048.0,973.0,0.5571024563406529,0.5297339593114241,0.5366196606796726,1.0,1.0,1.0,0.5307155415845277,0.5328467153284672,0.32567819617856325,0.14621364660924158,0.5524475524475525,0.9936687805312584,1.1285714285714283,0.8656716417910448,0.5302013422818792,0.5766423357664233,0.48905109489051096,0.06569343065693423
9,LogisticRegression,ppp1_raw_image_2048x2048,1,4320,,331.0,331.0,ms1_only,pnasnet_large,4066,,2048.0,2048.0,0.7663028797835543,0.7065727699530516,0.7023327468328365,0.9821810889373359,0.9319249695533393,0.930969309157842,0.7642389045766956,0.6861313868613139,0.2037147913200051,0.8623827772777287,0.6861313868613139,0.6207028807127184,2.1860465116279073,0.4574468085106382,0.6861313868613139,0.6861313868613139,0.6861313868613139,0.37226277372262784
10,LogisticRegression,ppp1_raw_image_512x512,0,1792,,224.0,224.0,all_modalities,mobilenet_v2_140_224,168519,,512.0,512.0,0.7395005954665801,0.6799687010954617,0.677265256455586,1.0,0.9998433583959899,0.9998436522826767,0.7526772870158239,0.6934306569343066,0.21088976145472377,0.9010044968862444,0.6888888888888889,0.624825370398754,2.325,0.45360824742268047,0.6992481203007519,0.6788321167883211,0.708029197080292,0.3868613138686131
11,XGBoost,ppp1_cropped_image_2048x973,0,2048,,224.0,224.0,ms1_only,resnet_v2_152,1581,,2048.0,973.0,0.7408038962871101,0.6744913928012519,0.676443997985413,0.9999964666808,0.9981223579586866,0.9981214762986265,0.7542756673237786,0.6861313868613139,0.20332372272168572,0.862618635447998,0.6884057971014493,0.5915755976372175,2.1590909090909087,0.45161290322580644,0.6834532374100719,0.6934306569343066,0.6788321167883211,0.3722627737226277
12,LogisticRegression,ppp1_raw_image_2048x2048,0,2048,,299.0,299.0,ms1_only,inception_v3_inaturalist,2044,,2048.0,2048.0,0.7218837522377843,0.6651017214397497,0.6543439161937132,0.9087410977055926,0.8305137844611529,0.8276112216699031,0.7421279769833234,0.6751824817518248,0.20467798378492483,0.8111966900915893,0.6641509433962264,0.5946794073836664,2.2,0.5051546391752577,0.6875,0.6423357664233577,0.708029197080292,0.35036496350364965
13,LogisticRegression,ppp1_raw_image_2048x2048,0,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,970,,2048.0,2048.0,0.5850440010979769,0.5625978090766823,0.554854107179629,0.8262210913842911,0.7350549803213475,0.7309351107812491,0.5987532633597954,0.5693430656934306,0.24165735805997487,0.3078982783677224,0.5724637681159421,0.6754539994605612,1.3166666666666664,0.7532467532467534,0.5683453237410072,0.5766423357664233,0.5620437956204379,0.13868613138686126
14,XGBoost,ppp1_cropped_image_512x243,1,7168,,331.0,331.0,ms1_only,amoebanet_a_n18_f448,5391,,512.0,243.0,0.7178642161221074,0.661189358372457,0.6573271838221004,1.0,1.0,1.0,0.7194309766103681,0.6605839416058394,0.243453801500672,0.7343040277281596,0.6593406593406593,0.786667125996153,1.9565217391304346,0.5164835164835165,0.6617647058823529,0.656934306569343,0.6642335766423357,0.3211678832116788
15,XGBoost,ppp1_raw_image_512x512,0,2048,,299.0,299.0,ms1_only,inception_v3_imagenet,2045,,512.0,512.0,0.7303457752493687,0.661189358372457,0.6458852392744563,1.0,1.0,1.0,0.7520912142362406,0.6861313868613139,0.20330856954483087,0.8741246263921678,0.6692307692307692,0.5895816334829169,2.4166666666666665,0.49504950495049505,0.7073170731707317,0.635036496350365,0.7372262773722628,0.3722627737226277
16,XGBoost,ppp1_raw_image_2048x2048,1,256,,128.0,128.0,ms1_only,mobilenet_v1_025_128,246,,2048.0,2048.0,0.5686910889984679,0.5586854460093896,0.5569864100566394,1.0,1.0,1.0,0.5263999147530503,0.5182481751824818,0.3266021582772603,0.08059058796262561,0.5251798561151079,0.9853283085292681,1.073529411764706,0.9275362318840579,0.5177304964539007,0.5328467153284672,0.5036496350364964,0.03649635036496357
17,RandomForest,ppp1_raw_image_512x512,0,1280,,224.0,224.0,ms1_only,mobilenet_v2_050_224,1178,,512.0,512.0,0.5910861551012729,0.5758998435054773,0.5741756436677325,1.0,1.0,1.0,0.5646544834567638,0.5656934306569343,0.2492240875912409,0.292734924430119,0.550943396226415,0.692272207683395,1.3272727272727274,0.7804878048780487,0.5703125,0.5328467153284672,0.5985401459854015,0.13138686131386867
18,XGBoost,ppp1_raw_image_2048x2048,1,1280,,96.0,96.0,ms1_only,mobilenet_v2_100_96,970,,2048.0,2048.0,0.5745951756817792,0.5446009389671361,0.5436490722815095,1.0,1.0,1.0,0.569822579785817,0.5109489051094891,0.3101538771974317,0.04834054495122401,0.5179856115107913,0.9333297474255419,1.0434782608695654,0.9558823529411764,0.5106382978723404,0.5255474452554745,0.49635036496350365,0.021897810218978186
19,RandomForest,ppp1_cropped_image_512x243,1,1280,,224.0,224.0,ms1_only,mobilenet_v2_035_224,1056,,512.0,243.0,0.6274510366805227,0.5790297339593115,0.5751681754002433,1.0,1.0,1.0,0.5899621716660451,0.5656934306569343,0.24489398540145987,0.29145023029525796,0.5641025641025642,0.683012156704761,1.3050847457627117,0.7692307692307693,0.5661764705882353,0.5620437956204379,0.5693430656934306,0.13138686131386856
20,XGBoost,ppp1_raw_image_512x512,0,2048,,224.0,224.0,ms1_only,resnet_v2_152,1570,,512.0,512.0,0.7387030858182717,0.6799687010954617,0.6793164416158742,0.99997647090672,0.9974960854293333,0.9975060075129064,0.7372262773722627,0.6715328467153284,0.21151871103180123,0.7893688593286793,0.6666666666666666,0.6179527402209648,2.0930232558139537,0.5,0.6766917293233082,0.656934306569343,0.6861313868613139,0.34306569343065696
21,RandomForest,ppp1_raw_image_512x512,1,1024,,224.0,224.0,all_modalities,inception_v1,102641,,512.0,512.0,0.7581797368573582,0.6901408450704225,0.6769821694005763,1.0,1.0,1.0,0.7541424689647823,0.6788321167883211,0.21154776642335768,0.8332888595276136,0.6641221374045801,0.6134367373433567,2.2894736842105265,0.5050505050505051,0.696,0.635036496350365,0.7226277372262774,0.35766423357664234
22,SVC,ppp1_raw_image_512x512,11,1280,,128.0,128.0,all_modalities,mobilenet_v2_050_128,91656,,512.0,512.0,0.7180687197960649,0.6596244131455399,0.6600731273030241,0.9996749697909998,0.9968704006733531,0.9968794531245494,0.7032074164846289,0.6459854014598541,0.21766900517649304,0.6701917308600315,0.662020905923345,0.6254739964844991,1.7272727272727275,0.5121951219512194,0.6333333333333333,0.6934306569343066,0.5985401459854015,0.2919708029197081
23,SVC,ppp1_cropped_image_2048x973,3,4032,,331.0,331.0,ms1_only,nasnet_large,3214,,2048.0,973.0,0.7512319432551517,0.6823161189358372,0.6818505738316768,0.960832383204464,0.9006269190800641,0.9003964587566644,0.7314188289200276,0.6788321167883211,0.21121092941607975,0.8272349318069239,0.6857142857142858,0.6126186797572496,2.0425531914893615,0.45555555555555555,0.6713286713286714,0.7007299270072993,0.656934306569343,0.35766423357664234
24,RandomForest,ppp1_raw_image_512x512,1,256,,224.0,224.0,ms1_only,mobilenet_v1_025_224,249,,512.0,512.0,0.6124923311122265,0.5821596244131455,0.5862570369777005,1.0,1.0,1.0,0.6171612765730725,0.583941605839416,0.2397690218978102,0.37511555843524547,0.5714285714285715,0.6723592826508027,1.4339622641509435,0.7261904761904762,0.5891472868217055,0.5547445255474452,0.6131386861313869,0.16788321167883213
25,LogisticRegression,ppp1_raw_image_512x512,0,1280,,224.0,224.0,all_modalities,mobilenet_v2_035_224,110417,,512.0,512.0,0.7803329800997147,0.7136150234741784,0.7059377977477307,1.0,0.9985914011106568,0.9985952084538819,0.7592306462784378,0.6751824817518248,0.20568356988165182,0.8111966900915893,0.6641509433962264,0.6140672602409952,2.2,0.5051546391752577,0.6875,0.6423357664233577,0.708029197080292,0.35036496350364965
